title,rank,label,area,time,duration
黑客帝国3：矩阵革命 - The Matrix Revolutions,8.8,"动作,科幻",美国,96 分钟,2003-11-05 上映
速度与激情5 - Fast Five,8.8,"动作,犯罪",美国,96 分钟,2011-05-12 上映
勇敢的心 - Braveheart,8.8,"剧情,动作,传记,历史,战争",美国,96 分钟,1995-05-18 上映
三傻大闹宝莱坞 - 3 Idiots,8.8,"剧情,喜剧,爱情,歌舞",美国,96 分钟,2011-12-08 上映
闻香识女人 - Scent of a Woman,8.8,剧情,美国,96 分钟,1992-12-23 上映
末代皇帝 - The Last Emperor,8.8,"剧情,传记,历史",美国,96 分钟,1987-10-23 上映
风之谷 - 風の谷のナウシカ,8.8,"动画,奇幻,冒险",美国,96 分钟,
大话西游之月光宝盒 - A Chinese Odyssey,8.8,"喜剧,爱情,奇幻,古装",美国,96 分钟,2014-10-24 上映
放牛班的春天 - Les choristes,8.8,"剧情,音乐",美国,96 分钟,2004-10-16 上映
当幸福来敲门 - The Pursuit of Happyness,8.9,"剧情,家庭,传记",美国,117 分钟,2008-01-17 上映
幽灵公主 - もののけ姫,8.9,"动画,奇幻,冒险",美国,117 分钟,1998-05-01 上映
十二怒汉 - 12 Angry Men,8.9,剧情,美国,117 分钟,1957-04-13 上映
搏击俱乐部 - Fight Club,8.9,"剧情,动作,悬疑,惊悚",美国,117 分钟,1999-09-10 上映
疯狂原始人 - The Croods,8.9,"喜剧,动画,冒险",美国,117 分钟,2013-04-20 上映
阿凡达 - Avatar,8.9,"动作,科幻,冒险",美国,117 分钟,2010-01-04 上映
哈尔的移动城堡 - ハウルの動く城,8.9,"动画,奇幻,冒险",美国,117 分钟,2004-09-05 上映
盗梦空间 - Inception,8.9,"剧情,科幻,悬疑,冒险",美国,117 分钟,2010-09-01 上映
忠犬八公的故事 - Hachi: A Dog's Tale,8.9,剧情,美国,117 分钟,2009-06-13 上映
拯救大兵瑞恩 - Saving Private Ryan,8.9,"剧情,历史,战争",美国,117 分钟,1998-11-13 上映
活着 - To Live,9.0,"剧情,家庭,历史",中国大陆、中国香港,132 分钟,1994-05-17 上映
机器人总动员 - WALL·E,9.0,"喜剧,科幻,动画",中国大陆、中国香港,132 分钟,2008-06-27 上映
天堂电影院 - Nuovo Cinema Paradiso,9.0,"剧情,爱情",中国大陆、中国香港,132 分钟,1988-11-17 上映
指环王2：双塔奇兵 - The Lord of the Rings: The Two Towers,9.0,"剧情,动作,奇幻,冒险",中国大陆、中国香港,132 分钟,2003-04-25 上映
指环王1：护戒使者 - The Lord of the Rings: The Fellowship of the Ring,9.0,"剧情,动作,奇幻,冒险",中国大陆、中国香港,132 分钟,2002-04-04 上映
射雕英雄传之东成西就 - The Eagle Shooting Heroes,9.0,"喜剧,奇幻,武侠,古装",中国大陆、中国香港,132 分钟,1993-02-05 上映
蝙蝠侠：黑暗骑士 - The Dark Knight,9.0,"剧情,动作,科幻,惊悚,犯罪",中国大陆、中国香港,132 分钟,2008-07-14 上映
无间道 - Infernal Affairs,9.0,"剧情,悬疑,犯罪",中国大陆、中国香港,132 分钟,2003-09-05 上映
教父2 - The Godfather: Part Ⅱ,9.0,"剧情,犯罪",中国大陆、中国香港,132 分钟,1974-12-12 上映
加勒比海盗 - Pirates of the Caribbean: The Curse of the Black Pearl,9.0,"动作,奇幻,冒险",中国大陆、中国香港,132 分钟,2003-11-21 上映
哈利·波特与魔法石 - Harry Potter and the Sorcerer's Stone,9.0,"奇幻,冒险",美国、英国,152 分钟,2002-01-26 上映
指环王3：王者无敌 - The Lord of the Rings: The Return of the King,9.0,"剧情,动作,奇幻,冒险",美国、英国,152 分钟,2004-03-15 上映
黑客帝国 - The Matrix,9.0,"动作,科幻",美国、英国,152 分钟,2000-01-14 上映
剪刀手爱德华 - Edward Scissorhands,9.0,"剧情,爱情,奇幻",美国、英国,152 分钟,1990-12-06 上映
春光乍泄 - Happy Together,9.0,"剧情,爱情",美国、英国,152 分钟,1997-05-17 上映
大闹天宫 - The Monkey King,9.0,"动画,奇幻",美国、英国,152 分钟,1965-12-31 上映
天空之城 - 天空の城ラピュタ,9.0,"动画,奇幻,冒险",美国、英国,152 分钟,1992-05-01 上映
音乐之声 - The Sound of Music,9.0,"剧情,爱情,歌舞,传记",美国、英国,152 分钟,1965-03-02 上映
辛德勒的名单 - Schindler's List,9.0,"剧情,历史,战争",美国、英国,152 分钟,1993-11-30 上映
魂断蓝桥 - Waterloo Bridge,9.0,"剧情,爱情,战争",美国、英国,152 分钟,1940-05-17 上映
