Num,Hotel Name,Price,Rating,Comments Count,Address
63,科苑酒店(北京中关村地铁站店),¥367起,4.5,共174条点评,北四环西路18号
64,7天优品(北京总部基地店),¥272起,4.5,共717条点评,外环西路26号院63号楼
65,柏岭优选酒店(北京首都机场T3航站楼店),¥288起,4.8,共1006条点评,南半壁店村壁富路甲一号北区6号楼
66,7天优品酒店(北京方庄地铁站店),¥361起,4.6,共555条点评,方庄南路于家坟157号
67,海友酒店(北京鸟巢店),¥195起,4.6,共681条点评,育慧北路8号(与小营东路交口)
68,登巴连锁客栈(北京国展柳芳地铁站店),¥77起,4.5,共469条点评,西坝河南里17号楼中国联通西坝河营业厅二层
69,非常印象江南居民宿,¥283起,4.6,共29条点评,十八里店乡老君堂村1256号-1一层
70,成铭公寓(北京望京科技园店),¥393起,5.0,共30条点评,博雅国际中心B座
71,如家酒店(北京北清路航天城店),¥260起,4.7,共223条点评,友谊路118号燕保辛店家园6号楼301室
72,季枫精选酒店(北京中关村苏州街店),¥550起,4.6,共1228条点评,苏州街19号二三层
73,如家酒店(北京花园桥首都师范大学店),¥444起,4.8,共672条点评,北洼路28号
74,青年假日酒店(北京北大口腔医院民大店),¥391起,4.4,共455条点评,民族大学西路58号
75,派酒店(北京牡丹园龙翔路北大第三医院店),¥268起,4.2,共359条点评,龙翔路12号
76,速8精选酒店(北京方庄地铁站肿瘤医院店),¥466起,4.8,共352条点评,十八里店紫芳路五号院3号楼
77,驿家酒店(北京金台路地铁站店),¥298起,4.4,共232条点评,朝阳北路177号
78,格林豪泰(北京菜市口宣武医院店),¥610起,4.7,共641条点评,狮子店胡同11号
79,7天优品酒店(北京协和医院王府井地铁站店),¥819起,4.6,共1985条点评,王府井大街277号44号楼老北京风情街院内
80,金鼎海天商务宾馆(北京三元桥地铁站国际展览中心店),¥592起,4.9,共53条点评,左家庄北里31号楼
81,智途雅居公寓(北京国贸金茂府店),¥670起,4.9,共159条点评,广渠路15号金茂府23号院6号楼712
82,励业公寓酒店(北京欢乐谷垡头地铁站店),¥352起,4.6,共491条点评,垡头西里24号
83,北京怡景商务酒店,¥422起,4.4,共477条点评,北太平庄马甸南路2号院七省办事处内
84,锦江之星(北京三元桥燕莎国际展览中心店),¥475起,4.5,共279条点评,左家庄北里5号
85,布丁精选酒店(北京国贸建国门店),¥424起,4.5,共1122条点评,建国门外永安里中街25号2幢(海川大厦)5-11层
86,Zsmart智尚酒店(北京南站大兴机场线草桥地铁站店),¥296起,4.0,共297条点评,北甲地路十号院镇国寺北街永辉超市3层
87,北京水晶之恋公寓(望京悠乐汇店),¥307起,4.6,共219条点评,望京园602号悠乐汇D座1层112室
88,7天连锁酒店(北京丰台站天坛医院店),¥323起,4.6,共429条点评,韩庄子西里16号
89,北京盛凯酒店,¥569起,4.2,共284条点评,莲怡园东路10号楼11号
90,速8精选酒店(北京首都机场新国展展览中心店),¥355起,4.9,共330条点评,天竺镇天柱东路甲18号
91,北京白裕兰酒店(常营地铁站朝阳医院常营院区店),¥399起,4.8,共53条点评,常营镇常惠路2号楼
92,海友酒店(北京天安门国家大剧院店),¥783起,4.9,共497条点评,北新华街后细瓦厂胡同31号
