id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1582873,卞萝卜,1186,蔬菜,NULL,,0.4,0.6,0.5,冀,洗,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582872,青萝卜,1186,蔬菜,NULL,,0.6,1.4,1.0,冀豫津,存\新,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582871,胡萝卜,1186,蔬菜,NULL,,0.6,1.05,0.83,鲁豫,泥,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582870,胡萝卜,1186,蔬菜,NULL,,0.7,0.9,0.8,鲁豫,洗,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582869,土豆,1186,蔬菜,NULL,,0.8,1.35,1.08,冀蒙陕,老,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582868,土豆,1186,蔬菜,NULL,,1.3,2.0,1.65,云桂,新,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582867,葱头,1186,蔬菜,NULL,,1.4,1.5,1.45,甘蒙,黄,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582866,葱头,1186,蔬菜,NULL,,1.8,2.0,1.9,甘蒙,红,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582865,山药,1186,蔬菜,NULL,,3.5,4.0,3.75,豫鲁,脆,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582864,山药,1186,蔬菜,NULL,,4.5,5.5,5.0,冀,麻,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582863,山药,1186,蔬菜,NULL,,5.0,8.0,6.5,豫冀,铁棍,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582862,莲藕,1186,蔬菜,NULL,,4.0,4.5,4.25,苏津,泥\洗,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582861,红薯,1186,蔬菜,NULL,,0.8,1.2,1.0,冀,龙薯九,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582860,红薯,1186,蔬菜,NULL,,1.2,1.8,1.5,粤,西瓜红\烟薯,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582859,紫薯,1186,蔬菜,NULL,,1.5,3.5,2.5,冀,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582858,荸荠,1186,蔬菜,NULL,,2.8,3.0,2.9,皖,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582857,芋头,1186,蔬菜,NULL,,3.0,3.5,3.25,鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582856,姜,1186,蔬菜,NULL,,2.5,3.0,2.75,鲁,姜头,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582855,姜,1186,蔬菜,NULL,,5.0,6.0,5.5,鲁,整姜,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582854,大蒜,1186,蔬菜,NULL,,4.5,7.5,6.0,豫苏鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582853,蒜米,1186,蔬菜,NULL,,4.0,6.0,5.0,鲁,机剥\手工,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582852,大葱,1186,蔬菜,NULL,,1.4,1.6,1.5,沪闽,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582851,小葱,1186,蔬菜,NULL,,2.5,4.5,3.5,冀鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582850,蒜苗,1186,蔬菜,NULL,,3.0,8.0,5.5,鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582849,蒜黄,1186,蔬菜,NULL,,6.0,6.5,6.25,冀,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582848,青蒜,1186,蔬菜,NULL,,4.0,4.5,4.25,川鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582847,平菇,1186,蔬菜,NULL,,2.0,3.5,2.75,京,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582846,香菇,1186,蔬菜,NULL,,3.5,7.0,5.25,冀,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582845,白玉菇,1186,蔬菜,NULL,,3.0,4.0,3.5,冀豫京,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582844,口蘑,1186,蔬菜,NULL,,7.5,8.0,7.75,冀闽,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582843,杏鲍菇,1186,蔬菜,NULL,,2.5,4.0,3.25,苏豫津,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582842,金针菇,1186,蔬菜,NULL,,2.0,2.6,2.3,辽鲁京,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582841,椰青,1187,水果,1211,其他类,7.0,8.0,7.5,,,个,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582840,菠萝,1187,水果,1211,其他类,1.6,2.0,1.8,,箱装（上六下六）,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582839,凤梨,1187,水果,1211,其他类,5.0,6.0,5.5,国产,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582838,圣女果,1187,水果,1211,其他类,4.0,6.0,5.0,,千禧,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582837,百香果,1187,水果,1211,其他类,7.0,8.0,7.5,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582836,黑枣,1187,水果,1211,其他类,8.0,11.0,9.5,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582835,九九草莓,1187,水果,1211,其他类,11.0,15.0,13.0,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582834,红颜草莓,1187,水果,1211,其他类,6.0,10.0,8.0,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582833,蓝莓,1187,水果,1211,其他类,50.0,65.0,57.5,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582832,火龙果,1187,水果,1211,其他类,4.0,7.0,5.5,,红,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582831,火龙果,1187,水果,1211,其他类,3.4,5.0,4.2,,白,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
