1582891,苦瓜,1186,蔬菜,,4.0,4.5,4.25,鲁,,斤,2024-03-10 00:00:00,138,admin
1582890,丝瓜,1186,蔬菜,,4.5,5.5,5.0,鲁冀,长\短,斤,2024-03-10 00:00:00,138,admin
1582889,西葫芦,1186,蔬菜,,2.0,2.4,2.2,鲁,箱,斤,2024-03-10 00:00:00,138,admin
1582888,贝贝南瓜,1186,蔬菜,,2.2,2.7,2.45,蒙,,斤,2024-03-10 00:00:00,138,admin
1582887,金丝南瓜,1186,蔬菜,,2.0,2.1,2.05,蒙,,斤,2024-03-10 00:00:00,138,admin
1582886,板栗南瓜,1186,蔬菜,,1.5,2.5,2.0,蒙新,,斤,2024-03-10 00:00:00,138,admin
1582885,南北瓜,1186,蔬菜,,1.0,1.7,1.35,鄂川云,,斤,2024-03-10 00:00:00,138,admin
1582884,尖椒,1186,蔬菜,,2.0,4.0,3.0,冀辽鲁粤,袋\箱,斤,2024-03-10 00:00:00,138,admin
1582883,红尖椒,1186,蔬菜,,3.0,4.0,3.5,鲁皖,,斤,2024-03-10 00:00:00,138,admin
1582882,美人椒,1186,蔬菜,,5.0,6.0,5.5,鲁云,,斤,2024-03-10 00:00:00,138,admin
1582881,螺丝椒,1186,蔬菜,,3.0,5.5,4.25,鲁辽,,斤,2024-03-10 00:00:00,138,admin
1582880,柿子椒,1186,蔬菜,,2.8,3.7,3.25,鲁辽,袋\箱,斤,2024-03-10 00:00:00,138,admin
1582879,线椒,1186,蔬菜,,3.0,4.5,3.75,鲁,新,斤,2024-03-10 00:00:00,138,admin
