id,prodName,pubDate,lowPrice,highPrice,avgPrice,place
1582857,芋头,2024-03-10 00:00:00,3.0,3.5,3.25,鲁
1582856,姜,2024-03-10 00:00:00,2.5,3.0,2.75,鲁
1582855,姜,2024-03-10 00:00:00,5.0,6.0,5.5,鲁
1582854,大蒜,2024-03-10 00:00:00,4.5,7.5,6.0,豫苏鲁
1582853,蒜米,2024-03-10 00:00:00,4.0,6.0,5.0,鲁
1582852,大葱,2024-03-10 00:00:00,1.4,1.6,1.5,沪闽
1582851,小葱,2024-03-10 00:00:00,2.5,4.5,3.5,冀鲁
1582850,蒜苗,2024-03-10 00:00:00,3.0,8.0,5.5,鲁
1582849,蒜黄,2024-03-10 00:00:00,6.0,6.5,6.25,冀
1582848,青蒜,2024-03-10 00:00:00,4.0,4.5,4.25,川鲁
1582847,平菇,2024-03-10 00:00:00,2.0,3.5,2.75,京
1582846,香菇,2024-03-10 00:00:00,3.5,7.0,5.25,冀
1582845,白玉菇,2024-03-10 00:00:00,3.0,4.0,3.5,冀豫京
1582844,口蘑,2024-03-10 00:00:00,7.5,8.0,7.75,冀闽
1582843,杏鲍菇,2024-03-10 00:00:00,2.5,4.0,3.25,苏豫津
1582842,金针菇,2024-03-10 00:00:00,2.0,2.6,2.3,辽鲁京
1582841,椰青,2024-03-10 00:00:00,7.0,8.0,7.5,
1582840,菠萝,2024-03-10 00:00:00,1.6,2.0,1.8,
1582839,凤梨,2024-03-10 00:00:00,5.0,6.0,5.5,国产
1582838,圣女果,2024-03-10 00:00:00,4.0,6.0,5.0,
1582837,百香果,2024-03-10 00:00:00,7.0,8.0,7.5,
1582836,黑枣,2024-03-10 00:00:00,8.0,11.0,9.5,
1582835,九九草莓,2024-03-10 00:00:00,11.0,15.0,13.0,
1582834,红颜草莓,2024-03-10 00:00:00,6.0,10.0,8.0,
1582833,蓝莓,2024-03-10 00:00:00,50.0,65.0,57.5,
1582832,火龙果,2024-03-10 00:00:00,4.0,7.0,5.5,
1582831,火龙果,2024-03-10 00:00:00,3.4,5.0,4.2,
1582830,木瓜,2024-03-10 00:00:00,4.5,5.0,4.75,
1582829,柿饼,2024-03-10 00:00:00,5.0,9.0,7.0,
1582828,桑葚,2024-03-10 00:00:00,7.0,8.0,7.5,
1582827,甘蔗,2024-03-10 00:00:00,1.9,2.0,1.95,
1582826,柠檬,2024-03-10 00:00:00,4.0,5.0,4.5,
1582825,石榴,2024-03-10 00:00:00,4.5,7.0,5.75,
1582824,山楂,2024-03-10 00:00:00,5.0,7.0,6.0,
1582823,山楂,2024-03-10 00:00:00,4.0,6.0,5.0,
1582822,姑娘果（灯笼果）,2024-03-10 00:00:00,12.0,18.0,15.0,
1582821,鸭梨,2024-03-10 00:00:00,1.8,2.0,1.9,
1582820,雪花梨,2024-03-10 00:00:00,1.8,1.9,1.85,
1582819,皇冠梨,2024-03-10 00:00:00,2.4,2.6,2.5,
1582818,南果梨,2024-03-10 00:00:00,3.5,7.5,5.5,
1582817,丰水梨,2024-03-10 00:00:00,2.75,3.1,2.93,
1582816,酥梨,2024-03-10 00:00:00,2.5,2.7,2.6,
1582815,红啤梨,2024-03-10 00:00:00,4.8,5.0,4.9,
1582814,红香酥梨,2024-03-10 00:00:00,1.4,1.7,1.55,
1582813,玉露香梨,2024-03-10 00:00:00,2.8,3.0,2.9,
1582812,贵妃梨,2024-03-10 00:00:00,1.7,1.8,1.75,
1582811,秋月梨,2024-03-10 00:00:00,3.8,4.5,4.15,
1582810,库尔勒香梨,2024-03-10 00:00:00,3.0,6.0,4.5,
1582809,砂糖橘,2024-03-10 00:00:00,3.0,5.8,4.4,
1582808,丑橘,2024-03-10 00:00:00,2.8,3.5,3.15,
1582807,爱媛,2024-03-10 00:00:00,3.0,5.0,4.0,
