肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,1994,9.7,2994060
霸王别姬,陈凯歌 Kaige Chen,1993,9.6,2212114
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,1994,9.5,2230908
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,1997,9.5,2268236
千与千寻,宫崎骏 Hayao Miyazaki,2001,9.4,2313902
这个杀手不太冷,吕克·贝松 Luc Besson,1994,9.4,2361719
美丽人生,罗伯托·贝尼尼 Roberto Benigni,1997,9.5,1366321
星际穿越,克里斯托弗·诺兰 Christopher Nolan,2014,9.4,1927828
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,2010,9.4,2134394
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,1993,9.5,1154377
楚门的世界,彼得·威尔 Peter Weir,1998,9.4,1785973
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,2009,9.4,1434855
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,1998,9.3,1727246
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,2009,9.2,1914839
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,2004,9.3,1355008
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,2008,9.3,1358910
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,9.2,2021072
无间道,刘伟强 / 麦兆辉,2002,9.3,1415879
控方证人,比利·怀尔德 Billy Wilder,1957,9.6,600286
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,1995,9.2,1579196
熔炉,黄东赫 Dong-hyuk Hwang,2011,9.4,960153
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,9.3,1003155
触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011,9.3,1163125
当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,2006,9.2,1564854
寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,9.1,1754803
末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,9.3,923469
龙猫,宫崎骏 Hayao Miyazaki,1988,9.2,1304022
怦然心动,罗伯·莱纳 Rob Reiner,2010,9.1,1890070
活着,张艺谋 Yimou Zhang,1994,9.3,879828
哈利·波特与魔法石,Chris Columbus,2001,9.2,1245343
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,2008,9.2,1097911
指环王3：王者无敌,彼得·杰克逊 Peter Jackson,2003,9.3,831997
我不是药神,文牧野 Muye Wen,2018,9.0,2172141
乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,9.3,715476
飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,9.1,1371984
素媛,李濬益 Jun-ik Lee,2013,9.3,711187
十二怒汉,Sidney Lumet,1957,9.4,513208
哈尔的移动城堡,宫崎骏 Hayao Miyazaki,2004,9.1,1065480
让子弹飞,姜文 Wen Jiang,2010,9.0,1757552
何以为家,娜丁·拉巴基 Nadine Labaki,2018,9.1,1078416
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,2016,9.0,1615327
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,2002,9.1,1074171
天空之城,宫崎骏 Hayao Miyazaki,1986,9.2,910752
鬼子来了,姜文 Wen Jiang,2000,9.3,649489
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,2015,9.3,656999
少年派的奇幻漂流,李安 Ang Lee,2012,9.1,1387461
钢琴家,罗曼·波兰斯基 Roman Polanski,2002,9.3,669506
大话西游之月光宝盒,刘镇伟 Jeffrey Lau,1995,9.0,1257727
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,2002,9.2,781005
闻香识女人,马丁·布莱斯 Martin Brest,1992,9.1,922454
死亡诗社,彼得·威尔 Peter Weir,1989,9.2,761884
绿皮书,彼得·法雷里 Peter Farrelly,2018,8.9,1712196
罗马假日,威廉·惠勒 William Wyler,1953,9.1,976375
大闹天宫,万籁鸣 Laiming Wan,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,456773
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,1988,9.2,695670
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,9.1,865193
指环王1：护戒使者,彼得·杰克逊 Peter Jackson,2001,9.1,876990
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,9.3,574577
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,9.1,875761
辩护人,杨宇硕 Woo-seok Yang,2013,9.2,608078
饮食男女,李安 Ang Lee,1994,9.2,645335
搏击俱乐部,大卫·芬奇 David Fincher,1999,9.0,876118
本杰明·巴顿奇事,大卫·芬奇 David Fincher,2008,9.0,1016725
美丽心灵,朗·霍华德 Ron Howard,2001,9.1,792988
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,2008,9.2,587318
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,2006,9.2,582894
情书,岩井俊二 Shunji Iwai,1995,8.9,1160904
两杆大烟枪,盖·里奇 Guy Ritchie,1998,9.1,615132
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,2000,8.9,1007479
音乐之声,罗伯特·怀斯 Robert Wise,1965,9.1,624165
看不见的客人,奥里奥尔·保罗 Oriol Paulo,2016,8.8,1318371
阿凡达,詹姆斯·卡梅隆 James Cameron,2009,8.8,1464355
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,2011,9.0,865819
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,1998,9.1,668001
飞越疯人院,米洛斯·福尔曼 Miloš Forman,1975,9.1,562887
小鞋子,马基德·马基迪 Majid Majidi,1997,9.2,424640
